state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,StateName,Region,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic
IN,9000,92,828000,489000,0.85,704000,1998,Indiana,Midwest,0.0,93.1,0.0,0.0,0.0,93.1
KS,10000,61,610000,128000,1.55,946000,2008,Kansas,Midwest,18574.2,6267.3,11798.4,0.0,0.0,36639.9
KS,13000,51,663000,530000,0.96,636000,2001,Kansas,Midwest,0.0,46.9,0.0,0.0,0.0,46.9
KS,13000,67,871000,854000,1.11,967000,1999,Kansas,Midwest,0.0,22.6,0.0,0.0,0.0,22.6
KS,14000,40,560000,196000,1.18,661000,2007,Kansas,Midwest,20029.0,1155.9,6636.6,0.0,235.3,28056.8
KS,14000,55,770000,246000,1.17,901000,2006,Kansas,Midwest,12961.0,3964.6,9406.4,0.0,0.0,26332.0
KS,14000,80,1120000,683000,1.18,1322000,2004,Kansas,Midwest,7479.3,10636.1,3575.9,20.2,0.0,21711.5
KS,15000,68,1020000,520000,0.91,928000,2000,Kansas,Midwest,0.0,28.7,0.0,0.0,0.0,28.7
KS,16000,46,736000,390000,0.87,640000,1998,Kansas,Midwest,0.0,20.1,0.0,0.0,0.0,20.1
KS,16000,50,8.00E+05,328000,1.05,840000,2005,Kansas,Midwest,10489.0,3142.6,5469.7,0.0,0.0,19101.3
KS,16000,57,912000,447000,1.41,1286000,2003,Kansas,Midwest,0.0,23.7,81.7,16.2,0.0,121.6
KS,17000,52,884000,407000,1.5,1326000,2002,Kansas,Midwest,0.0,10.2,98.1,0.0,0.0,108.3
KS,6000,46,276000,39000,2.5,690000,2013,Kansas,Midwest,71506.6,29835.0,29067.0,0.0,0.0,130408.6
KS,6000,55,330000,125000,2.28,752000,2012,Kansas,Midwest,48739.6,37132.2,29558.4,0.0,0.0,115430.2
KS,7000,44,308000,117000,2.15,662000,2011,Kansas,Midwest,29542.7,19711.5,24384.9,0.0,0.0,73639.1
KS,7000,48,336000,54000,3.04,1021000,2016,Kansas,Midwest,0.0,2221.5,2408.3,0.0,0.0,4629.8
KS,7000,75,525000,84000,2.38,1250000,2014,Kansas,Midwest,67757.5,46814.4,31315.3,0.3,0.0,145887.5
KS,7000,79,553000,260000,4.18,2312000,2017,Kansas,Midwest,,,,,,
KS,8000,36,288000,107000,3.5,1008000,2015,Kansas,Midwest,0.0,2238.9,2230.0,0.2,0.0,4469.1
KS,9000,52,468000,103000,2.02,945000,2010,Kansas,Midwest,15132.8,22264.7,17974.1,0.0,0.0,55371.6
KS,9000,63,567000,164000,1.85,1049000,2009,Kansas,Midwest,24430.8,8915.2,26354.2,0.0,0.0,59700.2
KY,3000,41,123000,17000,3.25,400000,2013,Kentucky,South,32857.7,14255.7,4577.4,27.2,0.0,51718.0
KY,3000,50,150000,12000,1.24,186000,1999,Kentucky,South,0.0,4566.6,0.0,0.0,0.0,4566.6
KY,3000,50,150000,51000,1.4,210000,1998,Kentucky,South,0.0,3317.9,0.0,0.0,0.0,3317.9
KY,4000,39,156000,12000,3.17,495000,2011,Kentucky,South,7982.0,16392.4,11304.4,32.7,0.0,35711.5
KY,4000,39,156000,27000,2.44,381000,2008,Kentucky,South,5241.4,5605.5,2053.5,36.4,0.0,12936.8
KY,4000,48,192000,54000,1.35,259000,2000,Kentucky,South,0.0,3284.7,0.0,0.0,0.0,3284.7
KY,4000,61,244000,54000,2.12,517000,2007,Kentucky,South,9675.1,2649.4,1569.6,30.7,0.0,13924.8
KY,4000,78,312000,125000,1.41,440000,2001,Kentucky,South,0.0,2705.4,0.0,0.0,0.0,2705.4
KY,5000,35,175000,25000,2.71,474000,2009,Kentucky,South,8067.6,5332.7,3797.5,42.7,0.0,17240.5
KY,5000,38,190000,42000,4.08,775000,2017,Kentucky,South,,,,,,
KY,5000,46,230000,48000,4.02,925000,2016,Kentucky,South,8.4,4470.0,339.8,27.3,0.0,4845.5
KY,5000,46,230000,55000,4.04,929000,2015,Kentucky,South,2.5,3918.7,582.5,58.5,0.0,4562.2
KY,5000,47,235000,56000,3.96,931000,2014,Kentucky,South,36534.5,30765.2,8474.1,45.4,0.0,75819.2
KY,5000,48,240000,14000,1.67,401000,2003,Kentucky,South,0.0,2013.9,312.9,3.6,0.0,2330.4
KY,5000,50,250000,40000,2.08,520000,2005,Kentucky,South,1915.3,1821.1,428.5,28.4,0.0,4193.3
KY,5000,51,255000,41000,3.15,803000,2012,Kentucky,South,19734.3,13952.5,6714.5,18.6,0.0,40419.9
KY,5000,54,270000,78000,1.63,440000,2002,Kentucky,South,0.0,2862.4,137.7,0.0,0.0,3000.1
KY,5000,56,280000,34000,1.96,549000,2004,Kentucky,South,1655.6,3462.8,348.6,54.6,1.9,5523.5
KY,5000,56,280000,70000,2.19,613000,2006,Kentucky,South,3652.4,4672.3,1422.8,60.9,1.1,9809.5
KY,5000,67,335000,67000,2.72,911000,2010,Kentucky,South,8732.8,16406.8,3748.7,21.6,0.0,28909.9
LA,29000,89,2581000,413000,1.08,2787000,2007,Louisiana,South,730.1,3945.3,9864.2,759.7,0.0,15299.3
LA,30000,90,2700000,675000,0.9,2430000,2006,Louisiana,South,1909.5,4995.6,13520.1,356.3,0.0,20781.5
LA,34000,90,3060000,275000,1.24,3794000,2003,Louisiana,South,0.0,1251.1,1297.8,25.5,0.0,2574.4
LA,35000,124,4340000,347000,1.16,5034000,2002,Louisiana,South,0.0,1309.1,221.2,75.5,0.0,1605.8
LA,35000,97,3395000,611000,0.72,2444000,2005,Louisiana,South,560.3,3257.3,5588.3,91.5,0.0,9497.4
LA,35000,98,3430000,240000,0.79,2710000,2004,Louisiana,South,136.6,5336.1,7054.0,490.4,0.0,13017.1
LA,36000,77,2772000,471000,1.67,4629000,2011,Louisiana,South,4850.7,20744.8,19026.7,2129.5,0.0,46751.7
LA,36000,80,2880000,288000,1.5,4320000,2010,Louisiana,South,3808.5,18262.6,6468.3,107.2,0.0,28646.6
LA,37000,103,3811000,610000,1.36,5183000,2009,Louisiana,South,4220.8,4983.4,14607.0,384.2,0.0,24195.4
LA,40000,77,3080000,493000,1.36,4189000,2008,Louisiana,South,1058.4,10848.2,14375.5,451.6,0.0,26733.7
LA,41000,111,4551000,865000,0.59,2685000,1998,Louisiana,South,0.0,433.8,0.0,0.0,0.0,433.8
LA,41000,86,3526000,141000,1.83,6453000,2012,Louisiana,South,6514.1,18133.3,20919.4,0.1,0.0,45566.9
LA,43000,81,3483000,279000,1.88,6548000,2017,Louisiana,South,,,,,,
LA,43000,94,4042000,1334000,0.52,2102000,2000,Louisiana,South,0.0,2964.7,0.0,0.0,0.0,2964.7
LA,44000,99,4356000,348000,1.95,8494000,2015,Louisiana,South,0.0,7778.9,4740.4,593.0,0.0,13112.3
LA,45000,106,4770000,572000,0.6,2862000,2001,Louisiana,South,0.0,2804.1,460.1,0.0,0.0,3264.2
LA,48000,114,5472000,821000,0.49,2681000,1999,Louisiana,South,0.0,628.4,0.0,0.0,0.0,628.4
LA,48000,84,4032000,524000,2.18,8790000,2014,Louisiana,South,4006.1,20872.0,24656.1,543.1,0.0,50077.3
LA,50000,86,4300000,301000,1.94,8342000,2016,Louisiana,South,0.0,10335.2,5216.2,282.6,0.0,15834.0
LA,50000,98,4900000,490000,1.89,9261000,2013,Louisiana,South,5418.9,15364.7,16757.5,11.0,0.0,37552.1
MD,2000,42,84000,21000,1.93,162000,2003,Maryland,South,0.0,213.7,53.0,1.3,0.0,268.0
MD,3000,46,138000,21000,1.96,270000,2002,Maryland,South,0.0,541.2,21.3,0.0,0.0,562.5
MD,4000,46,184000,55000,1.6,294000,2001,Maryland,South,0.0,339.5,0.0,0.0,0.0,339.5
MD,6000,46,276000,50000,1.64,453000,1999,Maryland,South,0.0,313.0,0.0,0.0,0.0,313.0
MD,6000,46,276000,52000,1.14,315000,2000,Maryland,South,0.0,318.2,0.0,0.0,0.0,318.2
MD,7000,44,308000,92000,1.1,339000,1998,Maryland,South,0.0,474.7,0.0,0.0,0.0,474.7
ME,10000,26,260000,117000,0.69,179000,1998,Maine,Northeast,0.0,2915.3,0.0,0.0,0.0,2915.3
ME,10000,47,470000,47000,5.43,2552000,2015,Maine,Northeast,12.8,1774.8,320.9,0.0,0.0,2108.5
ME,11000,20,220000,106000,0.79,174000,2001,Maine,Northeast,0.0,3353.3,0.0,0.0,0.0,3353.3
ME,11000,21,231000,143000,0.75,173000,2000,Maine,Northeast,0.0,4299.4,0.0,0.0,0.0,4299.4
ME,11000,23,253000,86000,1.6,405000,2006,Maine,Northeast,0.0,2595.2,347.8,142.7,0.0,3085.7
ME,11000,41,451000,266000,1.21,546000,2002,Maine,Northeast,0.0,4659.4,301.6,0.0,0.0,4961.0
ME,12000,33,396000,51000,5.45,2158000,2017,Maine,Northeast,,,,,,
ME,12000,34,408000,65000,3.38,1379000,2016,Maine,Northeast,85.8,1834.7,600.0,0.0,0.0,2520.5
ME,14000,22,308000,89000,0.83,256000,1999,Maine,Northeast,0.0,4802.6,0.0,0.0,0.0,4802.6
ME,4000,30,120000,17000,1.98,238000,2011,Maine,Northeast,372.6,3005.5,1208.6,559.6,0.0,5146.3
ME,4000,34,136000,24000,2.39,325000,2012,Maine,Northeast,197.3,1910.0,1667.6,0.0,0.0,3774.9
ME,5000,41,205000,33000,2.05,420000,2010,Maine,Northeast,140.3,2738.7,1302.1,395.4,0.0,4576.5
ME,6000,50,3.00E+05,51000,1.95,585000,2009,Maine,Northeast,186.3,3936.2,885.6,10.3,0.0,5018.4
ME,7000,31,217000,37000,1.28,278000,2004,Maine,Northeast,0.0,5041.3,160.8,0.0,0.0,5202.1
ME,7000,42,294000,79000,1.57,462000,2008,Maine,Northeast,3.3,3620.6,204.8,2764.8,0.0,6593.5
ME,7000,43,301000,27000,3.14,945000,2013,Maine,Northeast,100.1,1808.0,1935.0,0.0,0.0,3843.1
ME,8000,26,208000,193000,1.66,345000,2005,Maine,Northeast,0.0,2748.5,358.2,0.0,0.0,3106.7
ME,8000,33,264000,145000,1.41,372000,2003,Maine,Northeast,0.0,4134.9,1127.9,0.0,0.0,5262.8
ME,8000,47,376000,41000,4.99,1876000,2014,Maine,Northeast,9.7,3198.1,1715.3,228.3,0.0,5151.4
ME,9000,26,234000,59000,1.32,309000,2007,Maine,Northeast,0.0,2030.4,23.5,189.7,0.0,2243.6
MI,65000,67,4355000,2439000,1.16,5052000,2004,Michigan,Midwest,3321.5,5746.3,905.0,260.5,1723.5,11956.8
MI,65000,68,4420000,2519000,0.94,4155000,2005,Michigan,Midwest,6813.3,4993.1,2465.4,727.7,1792.1,16791.6
MI,65000,74,4810000,1732000,1.41,6782000,2003,Michigan,Midwest,0.0,3450.4,907.7,341.2,0.0,4699.3
MI,66000,60,3960000,1505000,1.55,6138000,2009,Michigan,Midwest,11210.6,12518.4,14872.2,649.4,1082.2,40332.8
MI,71000,58,4118000,1524000,1.67,6877000,2010,Michigan,Midwest,11898.8,16153.4,12375.6,814.7,1308.2,42550.7
MI,71000,73,5183000,2021000,1.44,7464000,2008,Michigan,Midwest,17502.5,4558.1,8610.2,746.4,1114.6,32531.8
MI,72000,55,3960000,2099000,1.15,4554000,2006,Michigan,Midwest,8632.8,6425.4,5611.0,373.0,1250.8,22293.0
MI,72000,64,4608000,2350000,1.19,5484000,2007,Michigan,Midwest,14722.5,3854.9,8348.9,553.7,1853.0,29333.0
MI,72000,75,5400000,2970000,0.6,3240000,2000,Michigan,Midwest,0.0,5003.6,0.0,0.0,0.0,5003.6
MI,72000,77,5544000,1885000,1.4,7762000,2002,Michigan,Midwest,0.0,2973.7,762.0,0.0,0.0,3735.7
MI,73000,57,4161000,1332000,2.03,8447000,2012,Michigan,Midwest,36304.2,17017.8,11432.9,707.1,419.9,65881.9
MI,73000,85,6205000,3475000,0.66,4095000,1999,Michigan,Midwest,0.0,3453.0,0.0,0.0,0.0,3453.0
MI,74000,64,4736000,2084000,1.81,8572000,2011,Michigan,Midwest,17898.8,16502.5,15941.1,1167.8,840.3,52350.5
MI,76000,60,4560000,2827000,0.81,3694000,2001,Michigan,Midwest,0.0,4091.4,24.8,0.0,0.0,4116.2
MI,80000,85,6800000,3672000,0.66,4488000,1998,Michigan,Midwest,0.0,5238.3,0.0,0.0,0.0,5238.3
MI,85000,55,4675000,982000,2.16,10098000,2013,Michigan,Midwest,44878.1,19755.4,14566.3,1127.3,863.8,81190.9
MI,87000,45,3915000,822000,2.41,9435000,2017,Michigan,Midwest,,,,,,
MI,89000,60,5340000,1709000,2.37,12656000,2016,Michigan,Midwest,509.1,8771.4,3079.9,1408.7,0.0,13769.1
MI,90000,58,5220000,1984000,2.44,12737000,2015,Michigan,Midwest,730.3,8303.2,8145.2,1665.4,56.0,18900.1
MI,91000,63,5733000,1835000,2.49,14275000,2014,Michigan,Midwest,45281.4,17131.4,20021.4,794.3,1107.0,84335.5
MN,117000,73,8541000,1110000,1.47,12555000,2002,Minnesota,Midwest,0.0,3265.3,1609.1,0.0,0.0,4874.4
MN,120000,53,6360000,2099000,1.63,10367000,2011,Minnesota,Midwest,94614.2,42626.3,33626.1,223.2,0.0,171089.8
MN,120000,74,8880000,1598000,0.9,7992000,2005,Minnesota,Midwest,17982.9,1101.0,7970.6,0.0,0.0,27054.5
MN,120000,83,9960000,1892000,1.44,14342000,2003,Minnesota,Midwest,0.0,375.7,1393.1,0.0,0.0,1768.8
MN,122000,65,7930000,1427000,1.44,11419000,2009,Minnesota,Midwest,49606.5,10683.0,28357.5,122.6,0.0,88769.6
MN,122000,68,8296000,2157000,1.84,15265000,2015,Minnesota,Midwest,352.0,9611.2,9092.0,0.0,0.0,19055.2
MN,122000,78,9516000,2569000,1.39,13227000,2008,Minnesota,Midwest,42875.7,8183.8,21133.2,0.0,0.0,72192.7
MN,124000,59,7316000,1390000,1.69,12364000,2016,Minnesota,Midwest,1673.0,3889.8,3943.2,557.1,0.0,10063.1
MN,125000,67,8375000,1591000,1.92,16080000,2012,Minnesota,Midwest,135044.1,29129.6,25763.3,227.9,0.0,190164.9
MN,125000,80,1.00E+07,3300000,0.94,9400000,2006,Minnesota,Midwest,21232.4,3571.0,15293.6,13.3,0.0,40110.3
MN,126000,62,7812000,1016000,1.86,14530000,2017,Minnesota,Midwest,,,,,,
MN,128000,66,8448000,1774000,1.55,13094000,2010,Minnesota,Midwest,45267.0,40330.4,23717.8,420.8,0.0,109736.0
MN,130000,58,7540000,1282000,1.99,15005000,2013,Minnesota,Midwest,134266.6,34053.6,31282.7,25.7,0.0,199628.6
MN,130000,68,8840000,2564000,1.04,9194000,2007,Minnesota,Midwest,28186.4,5190.5,13464.7,0.0,0.0,46841.6
MN,132000,60,7920000,1426000,2.06,16315000,2014,Minnesota,Midwest,192952.2,32150.5,41110.0,58.6,0.0,266271.3
MN,135000,75,10125000,1924000,1.08,10935000,2004,Minnesota,Midwest,5268.9,3102.5,5202.2,0.0,0.0,13573.6
MN,135000,81,10935000,1859000,0.65,7108000,2001,Minnesota,Midwest,0.0,4000.5,104.6,0.0,0.0,4105.1
MN,140000,79,11060000,2765000,0.65,7189000,1998,Minnesota,Midwest,0.0,2492.2,0.0,0.0,0.0,2492.2
MN,145000,82,11890000,3210000,0.61,7253000,1999,Minnesota,Midwest,0.0,5829.8,0.0,0.0,0.0,5829.8
MN,150000,90,13500000,3105000,0.57,7695000,2000,Minnesota,Midwest,0.0,3226.1,0.0,0.0,0.0,3226.1
MO,10000,47,470000,85000,2.62,1231000,2013,Missouri,Midwest,52530.7,25444.6,21109.8,107.3,0.0,99192.4
MO,10000,52,520000,52000,3.55,1846000,2015,Missouri,Midwest,907.2,7645.3,3643.7,34.7,0.0,12230.9
MO,11000,47,517000,57000,1.99,1029000,2009,Missouri,Midwest,23669.7,10610.5,24267.1,237.4,0.0,58784.7
MO,11000,52,572000,92000,1.8,1030000,2010,Missouri,Midwest,15640.2,23728.6,20191.6,614.3,0.0,60174.7
MO,11000,53,583000,152000,1.68,979000,2008,Missouri,Midwest,14583.0,9536.4,13325.3,166.3,0.0,37611.0
MO,12000,47,564000,96000,3.63,2047000,2014,Missouri,Midwest,61668.2,53768.3,36203.8,48.4,0.0,151688.7
MO,14000,46,644000,148000,1.12,721000,2007,Missouri,Midwest,23367.3,7941.8,11287.0,46.2,0.0,42642.3
MO,15000,46,690000,117000,0.98,676000,2006,Missouri,Midwest,12278.1,2711.9,12321.3,152.4,19.2,27482.9
MO,15000,50,750000,180000,1.22,915000,2005,Missouri,Midwest,10880.9,6310.5,4482.1,46.8,0.0,21720.3
MO,16000,41,656000,151000,1.36,892000,2004,Missouri,Midwest,7062.8,7543.4,5998.0,2125.5,30.2,22759.9
MO,17000,53,901000,189000,1.41,1270000,2003,Missouri,Midwest,0.0,736.4,218.5,139.8,0.0,1094.7
MO,18000,50,9.00E+05,189000,1.42,1278000,2002,Missouri,Midwest,0.0,901.5,622.6,81.9,0.0,1606.0
MO,22000,61,1342000,336000,0.71,953000,2001,Missouri,Midwest,0.0,1112.1,0.5,0.0,0.0,1112.6
MO,23000,66,1518000,455000,0.76,1154000,1998,Missouri,Midwest,0.0,2264.3,0.0,0.0,0.0,2264.3
MO,23000,75,1725000,362000,0.6,1035000,2000,Missouri,Midwest,0.0,2756.9,0.0,0.0,0.0,2756.9
MO,24000,65,1560000,437000,0.68,1061000,1999,Missouri,Midwest,0.0,1382.0,0.0,0.0,0.0,1382.0
MO,7000,53,371000,108000,2.8,1039000,2012,Missouri,Midwest,44827.9,32864.5,23240.9,80.7,0.0,101014.0
MO,8000,43,344000,76000,2.14,736000,2011,Missouri,Midwest,20725.6,36426.1,33808.2,2474.0,0.0,93433.9
MO,8000,62,496000,30000,2.31,1146000,2016,Missouri,Midwest,4303.2,7081.4,1883.5,0.0,0.0,13268.1
MO,8000,65,520000,57000,3.53,1836000,2017,Missouri,Midwest,,,,,,
MS,13000,80,1040000,83000,1.81,1882000,2017,Mississippi,South,,,,,,
MS,14000,104,1456000,87000,1.32,1922000,2009,Mississippi,South,3800.9,9380.4,13751.7,743.6,0.0,27676.6
MS,14000,98,1372000,110000,1.3,1784000,2008,Mississippi,South,4828.1,12013.8,18536.6,993.2,0.0,36371.7
MS,14000,98,1372000,453000,0.93,1276000,2006,Mississippi,South,1550.2,5332.2,27097.0,2585.9,0.0,36565.3
MS,15000,83,1245000,87000,2.4,2988000,2015,Mississippi,South,192.9,8338.6,3334.5,304.7,0.0,12170.7
MS,15000,92,1380000,166000,0.91,1256000,2007,Mississippi,South,258.5,5697.0,20317.5,1489.5,0.0,27762.5
MS,16000,80,1280000,346000,0.67,858000,2005,Mississippi,South,4477.5,7273.6,16903.9,1403.0,0.0,30058.0
MS,16000,98,1568000,78000,1.44,2258000,2010,Mississippi,South,2113.7,21952.9,18639.1,200.8,0.0,42906.5
MS,17000,116,1972000,39000,1.86,3668000,2013,Mississippi,South,19968.5,12342.7,15532.7,0.0,0.0,47843.9
MS,17000,66,1122000,224000,0.89,999000,2001,Mississippi,South,0.0,3182.7,1613.2,0.0,0.0,4795.9
MS,17000,72,1224000,649000,0.69,845000,2000,Mississippi,South,0.0,682.0,169.4,0.0,0.0,851.4
MS,18000,115,2070000,104000,1.53,3167000,2011,Mississippi,South,6635.4,22192.3,23191.2,303.8,0.0,52322.7
MS,18000,118,2124000,64000,1.77,3759000,2012,Mississippi,South,12287.3,22205.7,15563.3,81.0,0.0,50137.3
MS,18000,65,1170000,421000,0.79,924000,2004,Mississippi,South,276.4,7601.9,4603.1,2104.3,0.0,14585.7
MS,18000,73,1314000,591000,0.54,710000,1999,Mississippi,South,0.0,2514.3,0.0,0.0,0.0,2514.3
MS,18000,78,1404000,281000,1.23,1727000,2002,Mississippi,South,0.0,4080.3,3439.8,177.6,0.0,7697.7
MS,18000,86,1548000,898000,0.58,898000,1998,Mississippi,South,0.0,1404.8,0.0,0.0,0.0,1404.8
MS,19000,85,1615000,113000,1.73,2794000,2016,Mississippi,South,5796.2,9323.8,20000.0,807.8,0.0,35927.8
MS,20000,112,2240000,45000,2.01,4502000,2014,Mississippi,South,17883.5,16294.1,22734.8,542.2,0.0,57454.6
MS,21000,69,1449000,246000,1.29,1869000,2003,Mississippi,South,0.0,4981.0,2110.9,80.7,0.0,7172.6
MT,115000,122,14030000,5472000,0.64,8979000,1998,Montana,West,0.0,44.5,0.0,0.0,0.0,44.5
MT,122000,70,8540000,2135000,0.6,5124000,1999,Montana,West,0.0,264.2,0.0,0.0,0.0,264.2
MT,124000,88,10912000,4692000,0.59,6438000,2000,Montana,West,0.0,616.7,0.0,0.0,0.0,616.7
MT,130000,67,8710000,3136000,0.86,7491000,2005,Montana,West,87.4,355.8,169.0,9.7,0.0,621.9
MT,132000,79,10428000,1981000,0.95,9907000,2006,Montana,West,17.5,294.4,82.4,6.8,0.0,401.1
MT,134000,63,8442000,1097000,1.38,11650000,2002,Montana,West,0.0,55.2,54.1,0.0,0.0,109.3
MT,134000,70,9380000,4596000,1.37,12851000,2008,Montana,West,443.8,166.4,410.9,6.2,0.0,1027.3
MT,135000,68,9180000,2479000,0.99,9088000,2007,Montana,West,96.1,147.3,80.1,4.8,0.0,328.3
MT,136000,102,13872000,4578000,0.67,9294000,2001,Montana,West,0.0,296.6,6.0,0.0,0.0,302.6
MT,140000,77,10780000,3773000,1.08,11642000,2004,Montana,West,110.0,201.4,67.7,9.3,0.0,388.4
MT,145000,52,7540000,2413000,1.95,14703000,2012,Montana,West,1460.8,8595.8,3206.4,0.0,0.0,13263.0
MT,145000,66,9570000,1914000,1.44,13781000,2003,Montana,West,0.0,139.8,29.7,9.6,0.0,179.1
MT,145000,72,10440000,2506000,2.3,24012000,2017,Montana,West,,,,,,
MT,145000,92,13340000,3202000,1.7,22678000,2011,Montana,West,801.9,5994.0,5910.6,0.0,0.0,12706.5
MT,146000,70,10220000,3577000,1.46,14921000,2009,Montana,West,621.9,2619.0,2471.6,4.9,0.0,5717.4
MT,146000,83,12118000,3757000,1.94,23509000,2015,Montana,West,0.0,1130.6,36.6,0.7,0.0,1167.9
MT,157000,74,11618000,2905000,1.58,18356000,2010,Montana,West,2595.9,5529.1,4624.7,6.4,0.0,12756.1
MT,159000,77,12243000,3183000,1.77,21670000,2016,Montana,West,0.0,172.0,137.0,0.0,0.0,309.0
MT,159000,94,14946000,5231000,2.09,31237000,2013,Montana,West,1438.8,18253.6,5728.2,5.1,0.0,25425.7
MT,162000,88,14256000,5132000,2.09,29795000,2014,Montana,West,2529.9,9591.7,5759.4,2.6,0.0,17883.6
NC,10000,38,380000,84000,3.67,1395000,2013,North Carolina,South,14693.5,19714.7,12080.0,261.4,68.7,46818.3
NC,10000,44,440000,79000,1.92,845000,2003,North Carolina,South,0.0,2504.1,1090.6,0.0,0.0,3594.7
NC,10000,50,5.00E+05,215000,1.57,785000,2006,North Carolina,South,4395.6,7366.0,7042.1,565.0,440.6,19809.3
NC,10000,54,540000,146000,1.88,1015000,2005,North Carolina,South,3804.9,6303.5,1130.8,81.7,199.4,11520.3
NC,11000,41,451000,99000,4.34,1957000,2017,North Carolina,South,,,,,,
NC,11000,45,495000,84000,2.57,1272000,2009,North Carolina,South,8952.2,5843.9,12735.9,376.6,7.2,27915.8
NC,11000,49,539000,243000,1.43,771000,2000,North Carolina,South,0.0,2145.2,0.0,0.0,0.0,2145.2
NC,12000,37,444000,89000,4.78,2122000,2016,North Carolina,South,10668.5,24306.5,3115.5,728.4,0.0,38818.9
NC,12000,43,516000,88000,3.49,1801000,2014,North Carolina,South,20227.0,27637.0,10012.9,320.0,238.7,58435.6
NC,12000,45,540000,103000,4.51,2435000,2015,North Carolina,South,644.6,13326.1,4136.0,552.1,185.9,18844.7
NC,12000,45,540000,76000,2.49,1345000,2007,North Carolina,South,8126.6,4319.2,6838.4,134.5,218.7,19637.4
NC,12000,52,624000,137000,2.18,1360000,2008,North Carolina,South,4130.6,5478.6,15193.8,369.2,298.2,25470.4
NC,13000,39,507000,106000,3.76,1906000,2012,North Carolina,South,23591.4,12598.5,12417.2,497.8,45.8,49150.7
NC,13000,44,572000,172000,1.48,847000,2001,North Carolina,South,0.0,3898.4,0.0,0.0,0.0,3898.4
NC,13000,46,598000,144000,2.66,1591000,2010,North Carolina,South,7108.9,7916.6,7038.0,742.9,121.1,22927.5
NC,14000,62,868000,95000,2.83,2456000,2011,North Carolina,South,10678.5,13127.3,13596.8,110.7,170.4,37683.7
NC,16000,42,672000,74000,1.41,948000,2002,North Carolina,South,0.0,3016.9,2331.3,0.0,0.0,5348.2
NC,8000,59,472000,151000,1.38,651000,1998,North Carolina,South,0.0,6576.4,0.0,0.0,0.0,6576.4
NC,9000,40,360000,72000,1.93,695000,2004,North Carolina,South,4368.0,5573.4,1280.5,53.1,28.3,11303.3
NC,9000,46,414000,104000,1.62,671000,1999,North Carolina,South,0.0,3549.8,0.0,0.0,0.0,3549.8
ND,230000,128,29440000,8832000,0.63,18547000,1998,North Dakota,Midwest,0.0,2019.4,0.0,0.0,0.0,2019.4
ND,255000,105,26775000,8836000,0.59,15797000,1999,North Dakota,Midwest,0.0,7948.8,0.0,0.0,0.0,7948.8
ND,280000,96,26880000,9408000,0.69,18547000,2001,North Dakota,Midwest,0.0,3084.9,131.3,0.0,0.0,3216.2
ND,3.00E+05,115,34500000,13800000,0.57,19665000,2000,North Dakota,Midwest,0,5383,0,0,0,5383
ND,320000,75,2.40E+07,8160000,1.46,35040000,2002,North Dakota,Midwest,0.0,3251.9,484.7,0.0,0.0,3736.6
ND,340000,87,29580000,6803000,1.36,40229000,2003,North Dakota,Midwest,0.0,2593.3,424.3,0.0,0.0,3017.6
ND,350000,74,25900000,7770000,0.91,23569000,2006,North Dakota,Midwest,2362.6,7025.1,4886.4,0.0,0.0,14274.1
ND,370000,91,33670000,8418000,0.83,27946000,2005,North Dakota,Midwest,3687.3,3156.5,5942.6,0.0,0.0,12786.4
ND,390000,78,30420000,9126000,1.05,31941000,2004,North Dakota,Midwest,738.0,10202.8,2253.4,0.0,0.0,13194.2
ND,4.00E+05,90,3.60E+07,8640000,1.36,48960000,2008,North Dakota,Midwest,8445.2,9953.0,22254.7,0.0,0.0,40652.9
ND,420000,74,31080000,9013000,0.96,29837000,2007,North Dakota,Midwest,4917.7,6865.7,10283.6,0.0,0.0,22067.0
ND,450000,77,34650000,7623000,1.38,47817000,2009,North Dakota,Midwest,16750.7,17809.8,22704.7,0.0,0.0,57265.2
ND,455000,74,33670000,4377000,1.89,63636000,2017,North Dakota,Midwest,,,,,,
ND,460000,71,32660000,7512000,1.67,54542000,2011,North Dakota,Midwest,21339.7,13844.6,17261.4,0.0,0.0,52445.7
ND,480000,69,33120000,5962000,1.92,63590000,2012,North Dakota,Midwest,47176.9,25924.6,23480.2,0.0,0.0,96581.7
ND,480000,69,33120000,6955000,2.04,67565000,2013,North Dakota,Midwest,78412.3,42333.5,22190.4,0.0,0.0,142936.2
ND,485000,78,37830000,6809000,1.85,69986000,2016,North Dakota,Midwest,546.6,2346.7,1684.6,0.0,0.0,4577.9
ND,490000,74,36260000,9428000,1.8,65268000,2015,North Dakota,Midwest,119.0,12808.6,3281.1,0.0,0.0,16208.7
ND,490000,86,42140000,9271000,1.99,83859000,2014,North Dakota,Midwest,49015.4,33305.4,41192.1,0.0,0.0,123512.9
ND,510000,91,46410000,12995000,1.5,69615000,2010,North Dakota,Midwest,15085.3,28013.3,17703.9,0.0,0.0,60802.5
NE,36000,67,2412000,1254000,1.45,3497000,2008,Nebraska,Midwest,52254.1,9830.7,19963.0,0.0,0.0,82047.8
NE,40000,68,2720000,2530000,0.87,2366000,2005,Nebraska,Midwest,36206.1,7809.4,8869.2,0.0,0.0,52884.7
